2nd-Order Category,3rd-Order Category,Avg. Score (%)
Build Cultural Competency,Leader,60.0
Build Cultural Competency,Team,73.33333333333333
Engagement,Leader,80.0
Engagement,Team,84.0
Give Power Away,Leader,90.0
Give Power Away,Team,73.33333333333333
Impact,Leader,84.0
Impact,Team,84.0
Relationships,Leader,84.0
Relationships,Team,64.0
See the Whole Playing Field,Leader,80.0
See the Whole Playing Field,Team,93.33333333333333
"Take Bold, Courageous Action",Leader,100.0
"Take Bold, Courageous Action",Team,93.33333333333333
Trust,Leader,84.0
Trust,Team,84.0
Value,Leader,96.0
Value,Team,88.0
